1_15_30_0.0009_3: tensor(0.0093)
1_15_30_0.0009_5: tensor(0.0075)
1_15_30_0.0009_8: tensor(0.0038)
1_15_30_0.0009_10: tensor(0.0041)
1_15_30_0.0009_15: tensor(0.0039)
1_15_30_0.0009_20: tensor(0.0042)
1_15_30_0.0009_30: tensor(0.0050)
1_15_30_0.0009_40: tensor(0.0055)
1_15_30_0.0009_50: tensor(0.0059)
1_15_30_0.0009_100: tensor(0.0086)
1_15_30_0.0009_200: tensor(0.0105)
1_15_30_0.0009_300: tensor(0.0112)
1_15_30_0.0009_400: tensor(0.0123)
1_15_30_0.0009_500: tensor(0.0123)
