2_1_142: tensor(0.0112)
2_2_15: tensor(0.0139)
2_3_24: tensor(0.0078)
2_4_57: tensor(0.0052)
2_5_34: tensor(0.0066)
2_6_14: tensor(0.0124)
2_7_7: tensor(0.0081)
2_8_17: tensor(0.0046)
2_9_22: tensor(0.0042)
2_10_11: tensor(0.0041)
2_11_13: tensor(0.0061)
2_12_11: tensor(0.0051)
2_13_19: tensor(0.0046)
2_14_6: tensor(0.0052)
2_15_7: tensor(0.0053)
2_16_8: tensor(0.0045)
2_17_9: tensor(0.0054)
2_18_7: tensor(0.0043)
2_19_9: tensor(0.0042)
2_20_7: tensor(0.0042)
