1_18_11_0.06_3: tensor(0.0329)
1_18_11_0.06_5: tensor(0.0091)
1_18_11_0.06_8: tensor(0.0077)
1_18_11_0.06_10: tensor(0.0076)
1_18_11_0.06_15: tensor(0.0050)
1_18_11_0.06_20: tensor(0.0092)
1_18_11_0.06_30: tensor(0.0072)
1_18_11_0.06_40: tensor(0.0072)
1_18_11_0.06_50: tensor(0.0084)
1_18_11_0.06_100: tensor(0.0097)
1_18_11_0.06_200: tensor(0.0076)
1_18_11_0.06_300: tensor(0.0071)
1_18_11_0.06_400: tensor(0.0090)
1_18_11_0.06_500: tensor(0.0088)
