1_2_214: tensor(0.0073)
1_4_30: tensor(0.0089)
1_6_76: tensor(0.0065)
1_8_29: tensor(0.0080)
1_10_27: tensor(0.0066)
1_12_51: tensor(0.0089)
1_14_24: tensor(0.0075)
1_16_42: tensor(0.0066)
1_18_28: tensor(0.0069)
1_20_34: tensor(0.0062)
