1_2_227: tensor(0.0072)
1_4_31: tensor(0.0088)
1_6_177: tensor(0.0057)
1_8_33: tensor(0.0077)
1_10_46: tensor(0.0062)
1_12_51: tensor(0.0082)
1_14_26: tensor(0.0071)
1_16_44: tensor(0.0063)
1_18_30: tensor(0.0066)
1_20_54: tensor(0.0061)
