1_13_29_0.0004_3: tensor(0.0088)
1_13_29_0.0004_5: tensor(0.0077)
1_13_29_0.0004_8: tensor(0.0076)
1_13_29_0.0004_10: tensor(0.0077)
1_13_29_0.0004_15: tensor(0.0077)
1_13_29_0.0004_20: tensor(0.0078)
1_13_29_0.0004_30: tensor(0.0084)
1_13_29_0.0004_40: tensor(0.0090)
1_13_29_0.0004_50: tensor(0.0094)
1_13_29_0.0004_100: tensor(0.0113)
1_13_29_0.0004_200: tensor(0.0246)
1_13_29_0.0004_300: tensor(0.0374)
1_13_29_0.0004_400: tensor(0.0600)
1_13_29_0.0004_500: tensor(0.0601)
