1_1_170: tensor(0.0102)
1_2_84: tensor(0.0081)
1_3_377: tensor(0.0045)
1_4_54: tensor(0.0073)
1_5_55: tensor(0.0070)
1_6_45: tensor(0.0056)
1_7_13: tensor(0.0069)
1_8_36: tensor(0.0051)
1_9_21: tensor(0.0059)
1_10_25: tensor(0.0070)
1_11_16: tensor(0.0062)
1_12_6: tensor(0.0074)
1_13_27: tensor(0.0051)
1_14_17: tensor(0.0041)
1_15_9: tensor(0.0059)
1_16_12: tensor(0.0053)
1_17_29: tensor(0.0049)
1_18_11: tensor(0.0044)
1_19_9: tensor(0.0052)
1_20_10: tensor(0.0048)
