1_15_30_0.0004_3: tensor(0.0049)
1_15_30_0.0004_5: tensor(0.0046)
1_15_30_0.0004_8: tensor(0.0042)
1_15_30_0.0004_10: tensor(0.0045)
1_15_30_0.0004_15: tensor(0.0051)
1_15_30_0.0004_20: tensor(0.0056)
1_15_30_0.0004_30: tensor(0.0067)
1_15_30_0.0004_40: tensor(0.0081)
1_15_30_0.0004_50: tensor(0.0090)
1_15_30_0.0004_100: tensor(0.0109)
1_15_30_0.0004_200: tensor(0.0129)
1_15_30_0.0004_300: tensor(0.0151)
1_15_30_0.0004_400: tensor(0.0202)
1_15_30_0.0004_500: tensor(0.0202)
