1_14_21_0.0006_3: tensor(0.0073)
1_14_21_0.0006_5: tensor(0.0066)
1_14_21_0.0006_8: tensor(0.0063)
1_14_21_0.0006_10: tensor(0.0066)
1_14_21_0.0006_15: tensor(0.0074)
1_14_21_0.0006_20: tensor(0.0078)
1_14_21_0.0006_30: tensor(0.0087)
1_14_21_0.0006_40: tensor(0.0096)
1_14_21_0.0006_50: tensor(0.0104)
1_14_21_0.0006_100: tensor(0.0135)
1_14_21_0.0006_200: tensor(0.0185)
1_14_21_0.0006_300: tensor(0.0238)
1_14_21_0.0006_400: tensor(0.0347)
1_14_21_0.0006_500: tensor(0.0348)
