1_18_19_0.0005_3: tensor(0.0104)
1_18_19_0.0005_5: tensor(0.0085)
1_18_19_0.0005_8: tensor(0.0076)
1_18_19_0.0005_10: tensor(0.0078)
1_18_19_0.0005_15: tensor(0.0080)
1_18_19_0.0005_20: tensor(0.0080)
1_18_19_0.0005_30: tensor(0.0079)
1_18_19_0.0005_40: tensor(0.0081)
1_18_19_0.0005_50: tensor(0.0084)
1_18_19_0.0005_100: tensor(0.0102)
1_18_19_0.0005_200: tensor(0.0152)
1_18_19_0.0005_300: tensor(0.0244)
1_18_19_0.0005_400: tensor(0.0451)
1_18_19_0.0005_500: tensor(0.0451)
