1_1_178: tensor(0.0102)
1_2_85: tensor(0.0082)
1_3_115: tensor(0.0044)
1_4_48: tensor(0.0076)
1_5_51: tensor(0.0072)
1_6_42: tensor(0.0057)
1_7_13: tensor(0.0069)
1_8_40: tensor(0.0049)
1_9_39: tensor(0.0057)
1_10_13: tensor(0.0072)
1_11_17: tensor(0.0063)
1_12_6: tensor(0.0073)
1_13_29: tensor(0.0045)
1_14_21: tensor(0.0037)
1_15_8: tensor(0.0062)
1_16_12: tensor(0.0054)
1_17_15: tensor(0.0065)
1_18_22: tensor(0.0043)
1_19_8: tensor(0.0050)
1_20_10: tensor(0.0049)
