1_2_232: tensor(0.0074)
1_4_31: tensor(0.0086)
1_6_106: tensor(0.0063)
1_8_31: tensor(0.0076)
1_10_29: tensor(0.0063)
1_12_47: tensor(0.0084)
1_14_24: tensor(0.0071)
1_16_41: tensor(0.0067)
1_18_29: tensor(0.0067)
1_20_23: tensor(0.0062)
