1_2_95: tensor(0.0070)
1_4_17: tensor(0.0108)
1_6_22: tensor(0.0086)
1_8_7: tensor(0.0091)
1_10_21: tensor(0.0065)
1_12_26: tensor(0.0063)
1_14_18: tensor(0.0069)
1_16_11: tensor(0.0058)
1_18_19: tensor(0.0049)
1_20_8: tensor(0.0051)
