1_2_223: tensor(0.0073)
1_4_31: tensor(0.0087)
1_6_80: tensor(0.0063)
1_8_28: tensor(0.0082)
1_10_28: tensor(0.0066)
1_12_17: tensor(0.0093)
1_14_27: tensor(0.0076)
1_16_36: tensor(0.0064)
1_18_31: tensor(0.0066)
1_20_24: tensor(0.0062)
