1_18_12_0.09_3: tensor(0.0149)
1_18_12_0.09_5: tensor(0.0146)
1_18_12_0.09_8: tensor(0.0085)
1_18_12_0.09_10: tensor(0.0091)
1_18_12_0.09_15: tensor(0.0110)
1_18_12_0.09_20: tensor(0.0089)
1_18_12_0.09_30: tensor(0.0078)
1_18_12_0.09_40: tensor(0.0057)
1_18_12_0.09_50: tensor(0.0055)
1_18_12_0.09_100: tensor(0.0057)
1_18_12_0.09_200: tensor(0.0082)
1_18_12_0.09_300: tensor(0.0097)
1_18_12_0.09_400: tensor(0.0133)
1_18_12_0.09_500: tensor(0.0132)
