1_15_15_0.001_2: tensor(0.0061)
1_15_15_0.001_4: tensor(0.0049)
1_15_15_0.001_8: tensor(0.0046)
1_15_15_0.001_10: tensor(0.0047)
1_15_15_0.001_15: tensor(0.0049)
1_15_15_0.001_20: tensor(0.0049)
1_15_15_0.001_30: tensor(0.0051)
1_15_15_0.001_40: tensor(0.0053)
1_15_15_0.001_50: tensor(0.0056)
1_15_15_0.001_100: tensor(0.0067)
1_15_15_0.001_200: tensor(0.0096)
1_15_15_0.001_300: tensor(0.0123)
1_15_15_0.001_400: tensor(0.0123)
1_15_15_0.001_500: tensor(0.0121)
