1_5_30_0.001_2: tensor(0.0065)
1_5_30_0.001_4: tensor(0.0046)
1_5_30_0.001_8: tensor(0.0041)
1_5_30_0.001_10: tensor(0.0043)
1_5_30_0.001_15: tensor(0.0050)
1_5_30_0.001_20: tensor(0.0057)
1_5_30_0.001_30: tensor(0.0079)
1_5_30_0.001_40: tensor(0.0100)
1_5_30_0.001_50: tensor(0.0116)
1_5_30_0.001_100: tensor(0.0206)
1_5_30_0.001_200: tensor(0.0585)
1_5_30_0.001_300: tensor(0.0885)
1_5_30_0.001_400: tensor(0.0885)
1_5_30_0.001_500: tensor(0.0899)
