1_5_15: 0.016105738
1_5_30: 0.0146340495
1_5_50: 0.014092703
1_5_100: 0.015501804
1_5_150: 0.017623605
1_5_200: 0.021980377
1_5_300: 0.02859795
1_5_400: 0.03386015
1_5_500: 0.035193495
1_10_15: 0.012799795
1_10_30: 0.012873255
1_10_50: 0.013583098
1_10_100: 0.0193515
1_10_150: 0.02567014
1_10_200: 0.03382037
1_10_300: 0.049447376
1_10_400: 0.05379593
1_10_500: 0.06594745
1_15_15: 0.012164793
1_15_30: 0.014513266
1_15_50: 0.020453563
1_15_100: 0.037962247
1_15_150: 0.056074545
1_15_200: 0.07259875
1_15_300: 0.11574817
1_15_400: 0.1239024
1_15_500: 0.122596495
1_20_15: 0.012882389
1_20_30: 0.016508752
1_20_50: 0.0267611
1_20_100: 0.049217876
1_20_150: 0.06529906
1_20_200: 0.08938741
1_20_300: 0.11672088
1_20_400: 0.13307832
1_20_500: 0.14561377
